token,pct
Kim,0.015264838179121432
Party,0.010702816488151799
people,0.009930926994193668
Rodong,0.009777491244740788
Jong,0.009628766241981637
Sinmun,0.008288222325709102
Il,0.007949721527574019
country,0.006611869466555044
work,0.006583604986392671
DPRK,0.006328551701117928
Korea,0.005893817077668099
Committee,0.005533108473691152
Un,0.005253828491134375
official,0.005146827244805393
Central,0.004485303816243193
great,0.004332541030603702
korean,0.0042302505309684485
say,0.0038473341211496376
member,0.003747735476767943
People,0.003736295091940316
Sung,0.003613142714089978
chairman,0.003500084793440487
year,0.003362127211695573
President,0.0032739689521415053
production,0.0031851377287740483
revolutionary,0.0031252439493823538
construction,0.0029724811637428634
Workers,0.0028749014108013383
Pyongyang,0.0027894350065008305
national,0.002689836362119136
Juche,0.0026386911123015095
Supreme,0.0025364006126662557
WPK,0.0024408397511649004
take,0.0024058456328686292
Chairman,0.002380945971773206
socialist,0.0023775811527062566
new,0.0023742163336393078
Team,0.002271252870190664
anniversary,0.0022618313768032064
south,0.0022180887289328676
day,0.0022153968736793087
unit,0.0021770379363160886
meeting,0.0021413708542064275
News,0.002138678998952868
build,0.00213194936081897
hold,0.002090225604388801
visit,0.0020747474366808348
effort,0.0020713826176138855
General,0.002070036689987106
Leader,0.0020363884993176147
good,0.0019758217561125302
high,0.001953613950270666
field,0.001950249131203717
Chol,0.0019280413253618526
place,0.0019219846510413442
worker,0.0018923742432521919
lead,0.0018910283156254122
force,0.0018553612335157515
secretary,0.001848631595381853
carry,0.0018479586315684633
development,0.0018445938125015143
vice,0.0018270967533533787
state,0.0018223860066596499
develop,0.0018048889475115145
revolution,0.0017974863455642264
leader,0.001790756707430328
include,0.0017840270692964298
Republic,0.0017611462996411757
life,0.001759800372014396
Korean,0.001755762589134057
Japan,0.0017315358918520234
Ri,0.0017295170004118538
general,0.0017268251451582946
president,0.00170596326694321
give,0.0016568369085657527
party,0.0016440505961113458
time,0.0016420317046711764
struggle,0.0016339561389104985
make,0.0016117483330686342
Yong,0.0016063646225615157
organization,0.0015922323824803294
world,0.0015754082871455835
material,0.0015585841918108378
area,0.001531665639275245
respected,0.0015296467478350755
success,0.0015269548925815161
way,0.0014899418828450757
message,0.0014778285342040589
State,0.0014361047777738895
China,0.0014239914291328726
U.S.,0.0013910162022767712
anti,0.001383613600329483
increase,0.001379575817449144
Province,0.0013775569260089746
issue,0.0013715002516884662
delegation,0.0013627517221143984
japanese,0.0013533302287269408
political,0.0013479465182198223
occasion,0.0013425628077127036
set,0.001341889843899314
Democratic,0.0013365061333921952
Song,0.001333141314325246
Political,0.0013317953866984664
present,0.0013311224228850767
power,0.0013284305676315173
produce,0.001325738712377958
spirit,0.0013237198209377886
plan,0.0013169901828038902
idea,0.0013156442551771107
City,0.0013129523999235513
relation,0.0013015120150959242
leadership,0.0012961283045888057
victory,0.0012806501368808397
Bureau,0.00127930420925406
bring,0.001275939390187111
building,0.0012692097520532125
stress,0.001263153077732704
committee,0.0012550775119720262
cause,0.0012537315843452466
Affairs,0.0012456560185845687
history,0.0012449830547711788
nation,0.0012342156337569416
city,0.0012005674430874502
turn,0.0011884540944464333
education,0.0011877811306330436
farm,0.0011763407458054165
express,0.0011763407458054165
Association,0.0011541329399635523
National,0.0011480762656430438
advance,0.001139327736068976
round,0.0011339440255618575
factory,0.001119811785480671
Commission,0.001108371400653044
policy,0.0010962580520120272
system,0.001089528413878129
youth,0.00108549063099779
Secretary,0.0010821258119308409
important,0.0010747232099835528
County,0.0010706854271032137
county,0.001070012463289824
military,0.0010605909699023665
government,0.0010531883679550783
participant,0.0010518424403282987
Pak,0.0010430939107542309
statue,0.001038383164060502
self,0.0010370372364337224
service,0.001023577960165926
support,0.0010222320325391464
University,0.0010215590687257564
go,0.0010141564667784683
measure,0.0010141564667784683
send,0.0010128105391516886
task,0.0010087727562713498
pay,0.001000697190510672
economic,0.0009986782990705023
student,0.000995986443816943
Factory,0.0009932945885633838
lay,0.0009932945885633838
scientific,0.0009899297694964347
need,0.000988583841869655
ceremony,0.0009865649504294854
art,0.0009784893846688076
guidance,0.0009744516017884687
call,0.0009717597465349093
peace,0.00096906789128135
epidemic,0.0009657030722144008
prosperity,0.0009515708321332145
Army,0.0009508978683198247
health,0.0009414763749323672
province,0.0009387845196788078
implement,0.0009280170986645706
event,0.000914557822396774
display,0.0009132118947699945
defend,0.0009051363290093165
provide,0.000903117437569147
floral,0.0009024444737557572
South,0.0008963877994352488
socialism,0.0008889851974879607
performance,0.000887639269861181
basket,0.0008869663060477912
war,0.0008822555593540624
supply,0.0008768718488469438
powerful,0.0008735070297799947
public,0.0008728340659666049
exploit,0.0008681233192728761
conduct,0.0008640855363925371
method,0.0008587018258854184
forward,0.0008553370068184694
look,0.0008438966219908423
woman,0.0008438966219908423
receive,0.000841204766737283
man,0.0008398588391105034
head,0.0008385129114837237
Congress,0.0008378399476703339
technology,0.0008324562371632153
future,0.0008304373457230457
speech,0.0008304373457230457
improve,0.0008250536352159271
Complex,0.0008237077075891476
level,0.0008223617799623679
thank,0.0008196699247088085
tree,0.0008189969608954187
deep,0.0008163051056418594
site,0.0008156321418284696
group,0.0008156321418284696
basis,0.0008122673227615205
note,0.0008122673227615205
Ministry,0.0008082295398811815
campaign,0.0008062106484410121
ensure,0.0008035187931874527
school,0.000802172865560673
Presidium,0.0008014999017472833
Communist,0.0007994810103071138
love,0.0007880406254794867
historic,0.0007853487702259274
care,0.0007853487702259274
international,0.0007853487702259274
achieve,0.0007826569149723681
Choe,0.0007813109873455884
exhibition,0.0007799650597188088
